timestamp,event,char_type,score,hp,mana,player_x,player_y,enemy_x,enemy_y,enemy_dist,item_type,survival_time
1.03,position,Rabbit,0,200,75,390,270,73.6,57.0,381.4,,1.03
2.03,position,Rabbit,0,200,75,390,306,114.2,86.1,352.8,,2.03
3.02,position,Rabbit,0,200,75,345,312,119.3,145.7,280.3,,3.02
4.02,position,Rabbit,0,200,75,363,384,143.8,194.7,289.6,,4.02
5.0,position,Rabbit,0,200,75,315,420,197.7,214.1,237.0,,5.0
5.99,position,Rabbit,0,200,75,330,486,208.5,272.6,245.6,,5.99
6.37,item_collect,Rabbit,0,200,75,333,486,209.3,295.6,227.1,clock.png,6.37
6.99,position,Rabbit,0,200,75,423,462,209.8,332.6,249.4,,6.99
7.98,position,Rabbit,0,200,75,393,234,255.2,356.4,184.4,,7.98
8.34,item_collect,Rabbit,0,200,75,381,204,263.7,336.4,176.9,heal.png,8.34
8.97,position,Rabbit,0,200,75,381,204,268.4,298.8,147.2,,8.97
9.67,item_collect,Rabbit,0,200,75,402,261,271.5,285.7,132.8,clock.png,9.67
9.97,position,Rabbit,0,200,75,426,261,288.0,292.7,141.6,,9.97
10.96,position,Rabbit,0,200,75,432,333,347.5,299.1,91.0,,10.96
10.96,enemy_proximity,Rabbit,0,200,75,432,333,347.5,299.1,91.0,,10.96
11.95,position,Rabbit,0,200,75,546,300,405.9,302.6,140.2,,11.95
12.31,item_collect,Rabbit,0,200,75,588,294,420.1,317.6,169.5,wall.png,12.31
12.74,item_collect,Rabbit,0,200,75,591,258,444.8,325.1,160.9,heal.png,12.74
12.93,position,Rabbit,0,200,75,591,222,455.7,326.6,171.0,,12.93
13.2,item_collect,Rabbit,0,200,75,591,174,455.7,326.6,204.0,wall.png,13.2
13.4,item_collect,Rabbit,0,200,75,591,138,464.6,327.9,228.1,shield.png,13.4
13.93,position,Rabbit,0,200,75,591,120,465.1,327.0,242.3,,13.93
14.92,position,Rabbit,0,200,75,565,91,477.5,284.3,212.2,,14.92
15.36,item_collect,Rabbit,1,200,75,565,109,497.5,269.1,173.8,star.png,15.36
15.91,position,Rabbit,1,200,75,565,118,519.2,247.8,137.7,,15.91
15.98,item_collect,Rabbit,1,200,75,565,124,522.9,246.4,129.5,shield.png,15.98
16.9,position,Rabbit,1,200,75,559,121,563.9,220.0,99.1,,16.9
16.9,enemy_proximity,Rabbit,1,200,75,559,121,563.9,220.0,99.1,,16.9
17.9,position,Rabbit,1,200,75,505,85,566.6,162.1,98.7,,17.9
17.9,enemy_proximity,Rabbit,1,200,75,505,85,566.6,162.1,98.7,,17.9
18.9,position,Rabbit,1,200,75,418,127,517.5,138.0,100.1,,18.9
19.89,position,Rabbit,1,200,75,355,124,488.4,95.1,136.5,,19.89
19.94,item_collect,Rabbit,1,200,75,355,115,485.4,94.7,132.0,trap.png,19.94
20.88,position,Rabbit,1,200,75,295,55,462.8,91.8,171.8,,20.88
20.88,item_collect,Rabbit,1,200,75,295,55,462.8,91.8,171.8,trap.png,20.88
21.87,position,Rabbit,1,200,75,172,25,438.9,90.8,274.8,,21.87
22.87,position,Rabbit,1,200,75,133,67,423.9,105.7,293.5,,22.87
23.85,position,Rabbit,1,200,75,121,157,370.4,111.0,253.6,,23.85
